Class,Subject,Chapter,Topic,Total Questions,Total Answers
"class-3","English For Today","Unit 4_ Let's Play with Sounds, and Numbers","Lesson-4 Say the middle soundsaandA",6,6
"class-3","English For Today","Unit 4_ Let's Play with Sounds, and Numbers","Lesson-5 Numbers 91-100",10,10
"class-3","English For Today","Unit 4_ Let's Play with Sounds, and Numbers","Lesson-6 Ordinal Numbers",11,11
"class-3","English For Today","Unit 4_ Let's Play with Sounds, and Numbers","Correct form of verbs",10,10
"class-3","English For Today","Unit 4_ Let's Play with Sounds, and Numbers","Number to Words",10,10
"class-3","English For Today","Unit 4_ Let's Play with Sounds, and Numbers","Punctuation",2,2
"class-3","English For Today","Unit 4_ Let's Play with Sounds, and Numbers","Rearrange words",15,15
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","Lesson-1 Hello",50,50
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","Lesson-2 Talking about myself",76,76
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","Lesson-3 Greetings",10,10
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","Lesson-4 Goodbye 1",66,66
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","Lesson-5 Goodbye 2",10,10
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","Lesson-6 Numbers 1-30",5,5
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","Lesson-7 Introducing myself",60,60
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","Lesson-8 Introducing someone",61,61
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","Lesson-9 Numbers 11-20 in words",10,10
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","MCQ",50,50
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","Correct form of verbs",35,35
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","Fill in the blank",5,5
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","Match request",21,21
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","Number to Words",10,10
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","Punctuation",80,80
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","Rearrange words",85,85
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","Short Question",48,48
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","Text",6,6
"class-3","English For Today","Unit-1_ Greetings, Farewells, Introductions and Numbers","True",58,58
"class-3","English For Today","Unit-2_ My Friends, Family and Numbers","Lesson-1 Talking about friends and family",21,21
"class-3","English For Today","Unit-2_ My Friends, Family and Numbers","Lesson-2 Numbers 31-50",20,20
"class-3","English For Today","Unit-2_ My Friends, Family and Numbers","Lesson-3 My family",27,27
"class-3","English For Today","Unit-2_ My Friends, Family and Numbers","Lesson-4 Rhyme It's a Happy House",10,10
"class-3","English For Today","Unit-2_ My Friends, Family and Numbers","Lesson-5 My friend",41,41
"class-3","English For Today","Unit-2_ My Friends, Family and Numbers","Lesson-6 Numbers 51-70",20,20
"class-3","English For Today","Unit-2_ My Friends, Family and Numbers","MCQ",20,20
"class-3","English For Today","Unit-2_ My Friends, Family and Numbers","Correct form of verbs",20,20
"class-3","English For Today","Unit-2_ My Friends, Family and Numbers","Fill in the blank",20,20
"class-3","English For Today","Unit-2_ My Friends, Family and Numbers","Match request",5,5
"class-3","English For Today","Unit-2_ My Friends, Family and Numbers","Number to Words",40,40
"class-3","English For Today","Unit-2_ My Friends, Family and Numbers","Punctuation",1,1
"class-3","English For Today","Unit-2_ My Friends, Family and Numbers","Rearrange words",10,10
"class-3","English For Today","Unit-2_ My Friends, Family and Numbers","Short Question",20,20
